ITERATION           LOSS    MEAN_ABS_ERROR    % PREDICTIONS > 1    % PREDICTIONS > 3    % PREDICTIONS > 5
-----------  -----------  ----------------  -------------------  -------------------  -------------------
0              0.0112742         0.0720886             0.869457             0.626601             0.433351
1              0.0113233         0.0724671              0.87201             0.617836             0.438004
2              0.0124654         0.0781375              0.87725             0.643656             0.488423
3              0.0124365         0.0779969             0.884795             0.667262             0.489688
4              0.0132438         0.0835942             0.915968              0.73015             0.516163
5               0.012555         0.0775372             0.880119             0.655786             0.479523
6              0.0120087         0.0739487             0.850663             0.604396             0.454494
7              0.0119778         0.0758492             0.886399               0.6484             0.477535
8              0.0117082         0.0731246              0.85369             0.616775             0.438207
9              0.0123831         0.0780154             0.855565             0.646186             0.478213
MEAN           0.0121376         0.0762759             0.874592             0.645705              0.46936
STD          0.000573596         0.0033492            0.0184328            0.0337549            0.0258591
