ITERATION           LOSS    MEAN_ABS_ERROR    % PREDICTIONS > 1    % PREDICTIONS > 3    % PREDICTIONS > 5
-----------  -----------  ----------------  -------------------  -------------------  -------------------
0            0.000141187        0.00938183             0.706866             0.192801            0.0403856
1            7.54914e-05        0.00633098             0.478675            0.0883582            0.0159442
2            0.000157529         0.0104208             0.778346             0.231459            0.0495833
3            9.32016e-05        0.00731742             0.574667              0.11308            0.0226673
4            7.96164e-05        0.00643777             0.481593            0.0916264            0.0180218
5            8.89945e-05        0.00724186             0.594346             0.103135             0.015524
6             9.1165e-05        0.00667243             0.480916             0.107664            0.0257955
7            7.19359e-05        0.00638045             0.514602             0.089432            0.0126993
8            7.92776e-05         0.0065545             0.517427            0.0901557            0.0171347
9            0.000126796        0.00911731             0.721899             0.175176             0.029017
MEAN         0.000100519        0.00758554             0.584934             0.128289            0.0246773
STD          2.86353e-05        0.00141571             0.106547            0.0491896            0.0113837
