SUBJECT 10
  sensor        std     range
      18   39.8688   353.868
      19   16.7057   131.04
      20   16.9054   123.841
      21    5.38504   49.8638

SUBJECT 2
  sensor        std     range
--------  ---------  --------
       0   10.112     82.5185
       1    4.58432   25.2875
       2    9.30625   76.4718
       3   21.3943   150.051
       4   15.1713   121.413
       5  nan        nan
       6   26.5912   134.469
       7   16.5881   120.034
       8   12.2279   113.332
       9    8.4753    67.9028
      10    7.97065   61.0168
      11   23.5688   233.619
      12    1.81722   14.5407
      13   26.2662   167.275
      14   18.7582   143.197
      15   14.0345   106.036
      16   20.6127   177.384
      17   27.9638   205.66
      18   35.1858   314
      19   14.6743   105.84
      20   16.3233   128.49
      21   11.6289   100.093

SUBJECT 27
  sensor        std     range
--------  ---------  --------
       0    8.43813   77.4559
       1    5.00361   44.8006
       2    4.89035   46.6703
       3   13.0918   111.942
       4   10.6916   102.242
       5  nan        nan
       6   18.6057   127.2
       7   12.7935    98.1229
       8   11.9377    99.6515
       9   13.6411   104.764
      10    3.22929   34.1706
      11   21.7642   172.057
      12    1.39511   11.1193
      13   26.1315   162.099
      14    8.03093   79.2523
      15   10.7988   105.931
      16   13.9467   137.859
      17   20.353    181.996
      18   31.0306   305.988
      19   12.1646   123.48
      20   11.5007    92.1795
      21    5.09388   46.5099

SUBJECT 19
  sensor        std     range
--------  ---------  --------
       0    8.64483   79.5973
       1    3.93058   30.0703
       2    8.51173   73.0273
       3   14.5896   122.556
       4   14.8418   109.545
       5  nan        nan
       6   19.1349   148.098
       7   16.0632   113.359
       8   10.9649   156.564
       9   16.6257   107.674
      10    5.37955   68.85
      11   26.4034   247.825
      12    2.65559   24.2345
      13   34.0823   177.029
      14    8.84474   80.4982
      15   15.0569   119.323
      16   14.6974   229.961
      17   31.8135   218.4
      18   39.0482   316.292
      19   18.8928   131.04
      20   21.5805   192.073
      21   11.7374   102.613

SUBJECT 9
  sensor        std     range
--------  ---------  --------
       0    6.98577   61.4596
       1    3.69042   23.889
       2    6.28278   57.9161
       3   16.5567   161.959
       4   14.6417   115.935
       5  nan        nan
       6   17.6539   143.555
       7   10.7182    80.0226
       8   15.026    101.795
       9    7.10995   66.9328
      10    5.39338   48.5754
      11   28.4041   216.255
      12    1.63115   15.1109
      13   14.8892   132.238
      14    8.36213   68.0407
      15   13.6636   122.966
      16   19.1137   201.695
      17   22.314    169.26
      18   40.2416   260
      19   13.8911   115.92
      20   15.6585   140.871
      21    9.5394    72.5482

SUBJECT 12
  sensor        std     range
--------  ---------  --------
       0    9.11865   77.5705
       1    3.2825    26.6035
       2    5.3932    62.9229
       3   15.6966   133.378
       4   13.1853    93.1135
       5  nan        nan
       6   23.1297   144.36
       7   15.0162    99.9758
       8   12.7158   105.009
       9    8.89789   73.723
      10    6.24403   41.7095
      11   22.852    172.057
      12    1.83509   15.9662
      13   21.963    174.713
      14   12.2426   105.126
      15   14.9349   143.461
      16   18.026    168.463
      17   23.1456   171.08
      18   37.3044   245.692
      19   15.7926   131.04
      20   16.4335   139.633
      21    7.29035   62.5701

SUBJECT 16
  sensor        std     range
--------  ---------  --------
       0    9.56906   79.3679
       1    5.28984   28.8918
       2    4.98272   47.7948
       3   18.182    161.959
       4   13.6963   102.242
       5  nan        nan
       6   21.1656   128.109
       7   17.1236   111.386
       8    9.8203   172.33
       9    9.90312   79.5433
      10    6.03425   47.0868
      11   15.8868   205.206
      12    2.03798   17.962
      13   25.1611   138.637
      14   10.2609    65.6318
      15    8.03594  134.55
      16   17.4432   261.36
      17   17.783    207.48
      18   38.4674   306
      19   16.8028   115.92
      20   17.867    155.451
      21    9.406    111.384

SUBJECT 23
  sensor        std     range
--------  ---------  --------
       0    9.13758   81.2972
       1    5.9378    31.9831
       2    5.47776   53.9801
       3   12.8861   122.634
       4   13.7869    97.6779
       5  nan        nan
       6   23.1921   128.109
       7   20.4187   105.744
       8   12.8561   125.326
       9   18.1948    97.974
      10    3.4438    43.8362
      11   24.4008   197.313
      12    1.81249   17.0713
      13   33.0698   166.352
      14    9.1159    85.4206
      15   12.2025    94.3913
      16   22.6134   217.035
      17   20.3979   187.46
      18   33.0875   307.322
      19   15.6887   143.64
      20   15.3982   138.994
      21   10.8533    77.4064

SUBJECT 6
  sensor        std     range
--------  ---------  --------
       0    9.68857   79.1042
       1    3.73836   27.0101
       2    7.33865   71.91
       3    9.83987   84.5523
       4   13.3277    97.6779
       5  nan        nan
       6   17.9069   119.932
       7   16.6916   112.413
       8    9.26327  103.938
       9    9.51984   65.9627
      10    5.976     52.6058
      11   19.8892   170.24
      12    2.00544   14.8258
      13   22.5418   158.899
      14    9.68688  118.315
      15    8.63007  120.189
      16   12.603    141.337
      17   21.7436   207.48
      18   37.6012   282
      19   17.2846   124.74
      20   18.4936   133.261
      21    5.72635   56.1816

SUBJECT 26
  sensor        std     range
--------  ---------  --------
       0   10.3552    84.3717
       1    3.2431    29.4907
       2    7.3196    46.0041
       3   14.1412   122.66
       4   15.9453   122.326
       5  nan        nan
       6    3.49938   53.4559
       7   14.7386    97.1703
       8   14.3019   191.222
       9   10.8945    67.896
      10    3.44759   39.3478
      11   19.7784   206.51
      12    3.31813   22.8089
      13   20.7703   148.235
      14    7.96429   66.5574
      15    8.08157   81.0865
      16    9.00474  146.728
      17   21.3416   176.458
      18   38.3644   284
      19   16.2896   122.069
      20   25.03     163.459
      21   12.8324    86.9156

SUBJECT 18
  sensor        std     range
--------  ---------  --------
       0    9.06873   72.8202
       1    6.59658   33.8127
       2    8.61609   74.2226
       3   20.9091   166.723
       4   13.07      95.8522
       5  nan        nan
       6   20.8564   138.103
       7   14.2036   100.981
       8   11.5009    82.5071
       9   14.3708   100.884
      10    3.79211   45.717
      11   21.8623   164.165
      12    2.06366   20.8131
      13   25.0219   175.962
      14   13.613    106.504
      15   14.5772   128.257
      16   12.6003   164.16
      17   26.4239   183.82
      18   35.5124   290
      19   15.9054   153.72
      20   18.3438   172.541
      21   10.226     72.5717

SUBJECT 3
  sensor        std     range
--------  ---------  --------
       0   11.7006    88.6869
       1    4.12121   28.7313
       2    5.71687   61.8522
       3   19.7965   176.25
       4   14.8241   102.242
       5  nan        nan
       6   18.4685   129.926
       7   13.5423    92.407
       8   12.7224    94.2939
       9    8.4659    65.9627
      10    4.53765   32.3086
      11   21.4841   175.022
      12    1.91375   15.1109
      13   17.9245   141.836
      14   12.3981    90.2348
      15   12.8696   123.528
