FRACTION OF PREDICTIONS W/ ERROR > 1:
  OFFSET         0         1         2         3         4         5         6         7         8         9      MEAN        STD
      20  0.0363496  0.0443806  0.0941775  0.0421161  0.0493767   0.100901   0.040692  0.0453145  0.0769482          1   0.153026   0.283199
      25  0.0409731  0.0649733  0.0809423  0.0850746  0.0618915          1  0.0470198  0.0563584          1   0.064413   0.250165   0.375131
      30          1  0.0515736  0.0563364  0.0683835    0.18813   0.168612  0.0523674  0.0392931  0.0705314  0.0633638   0.175859   0.278988
      35  0.0489832  0.0526254   0.051925  0.0845649   0.101445  0.0437767   0.296397  0.0479326  0.0499638  0.0528589  0.0830473  0.0732766
      40          1  0.0602848   0.055802   0.352533  0.0569461   0.236446  0.0492178   0.159094   0.970698  0.0739435   0.301497    0.35449
      45  0.0923673   0.615541  0.0632982   0.102384  0.0788718    0.18784   0.593593   0.077611  0.0473044  0.0583016   0.191711   0.209737
      50   0.249206  0.0582329   0.185813  0.0763519   0.942771  0.0802979  0.0842206  0.0561549          1  0.0622023   0.279525   0.351268
      55   0.069629  0.0614332  0.0764004   0.135639  0.0830784  0.0599622   0.286875   0.233031  0.0634179  0.0994933   0.116896  0.0756502
      60  0.0557138  0.0826367   0.088988  0.0597067   0.129197          1  0.0672489   0.091323  0.0813057  0.0881707   0.174429    0.27588
      65  0.0968593   0.148745  0.0572329  0.0585172  0.0524227   0.061833   0.146573  0.0583771   0.073275  0.0780619  0.0831897  0.0345359
      70  0.0941528  0.0795348   0.059873          1  0.0716654          1  0.0975154  0.0588222          1  0.0812862   0.354285   0.422884
      75          1  0.0733251   0.155314   0.181001   0.192677  0.0634239  0.0516545  0.0698456   0.115335   0.649581   0.255216   0.299142
      80    0.14231  0.0921956  0.0550184   0.159871  0.0689365   0.074004  0.0711317   0.119892   0.140582  0.0625847  0.0986526  0.0365477
      85  0.0684711  0.0757572   0.106163  0.0866397  0.0761542  0.0923846          1   0.074286  0.0716938          1   0.265155   0.367577
      90   0.087646  0.0711817   0.103643  0.0695236   0.252289   0.168823   0.160019  0.0610696  0.0512844  0.0709715   0.109645  0.0610386
      95  0.0689647  0.0584787  0.0625657  0.0634064   0.847171  0.0668628  0.0780495   0.103716   0.101894          1   0.245111    0.34128
     100     0.2012          1  0.0693867    0.13144  0.0604652  0.0970853   0.101313   0.478187  0.0809006  0.0738708   0.229385   0.282915

